INLINE WalkingSoundTable,Sound
None,0
Ephraim Lord,0
Lord,0
Ephraim Master Lord,1
Eirika Master Lord,1
Cavalier_M,1
Cavalier_F,1
Paladin,1
Paladin_F,1
Armour Knight,4
Knight (F),4
General,4
General_F,4
Thief,0
Mamkute,0
Mercenary,0
Mercenary (F),0
Hero,0
Hero (F),0
Myrmidon,0
Swordfighter (F),0
Swordmaster,0
Swordmaster (F),0
Assassin,0
Assassin (F),0
Archer,4
Hunter,0
Sniper,0
Sniper (F),0
Horseman,1
Forrest Knight (F),1
Dragon Knight,2
Dragon Knight (F),2
DracoKnight,2
DracoKnight_F,2
Wyvern Knight,2
Wyvern Knight (F),2
Mage,0
Mage_F,0
Sage,0
Sage_F,0
Mage Knight,1
Mage Knight (F),1
Bishop,0
Bishop_F,0
Shaman,0
Shaman (F),0
Dark Mage,0
Druid (F),0
Summoner,0
Summoner (F),0
Rogue,0
Gorgon Egg,0
Great Knight,1
Great Knight (F),1
Trainee Soldier (2),0
Trainee Fighter (3),0
Trainee Mage (3),0
Trainee Soldier (3),0
Fire Dragon,4
Mamkute (F),0
Trainee Fighter (1),0
Trainee Mage (1),0
Brigand,0
Warrior,0
Barbarian,0
Pirate,0
Berserker,0
Monk,0
Curate,0
Bard,0
Trainee Soldier (1),0
Pegasus Knight,3
Falcon Knight,3
Sister,0
Troubadour,1
Valkyrie,1
Dancer,0
Soldier,0
Necromancer,0
Fleet,5
Ghost Fighter,11
Ice Dragon,4
Mage Dragon,4
Wyvern,2
Divine Dragon,4
Earth Dragon,12
Dark Earth Dragon,4
Emperor,4
Elder Bael,9
Cyclops,4
Mauthedoog,10
Cerberus,10
Tarvos,1
Macdaire,1
Bigl,11
Archbigl,11
Gorgon,12
Gorgon Egg,0
Gargoyle,2
Death Gargoyle,2
Dragon Zombie,6
Demon King,0
Ballistician,4
Archer on Iron Ballista,4
Archer on Killer Ballista,4
Ballista,4
Iron Ballista,0
Killer Ballista,0
Civilian,0
Civilian (F),0
Civilian,0
Civilian (F),0
Civilian,0
Civilian (F),0
Freelancer,0
Queen,0
Prince,0
Queen,0
(empty),0
Fallen Prince,0
Tent,0
Pontifex,0
Dead Peer,0
Cyclops,0
Elder Bael,0
Trainee Fighter (2),0
Trainee Mage (2),0
0x80,1
0x81,1
0x82,1
0x83,1
0x84,0
0x85,0
0x86,3
0x87,11
0x88,0
0x89,0
0x8a,0
0x8b,0
0x8c,0
0x8d,0
0x8e,0
0x8f,0
0x90,1
0x91,1
0x92,0
0x93,3
0x94,3
0x95,0
0x96,0
0x97,0
0x98,0
0x99,0
0x9a,0
0x9b,1
0x9c,1
0x9d,4
0x9e,4
0x9f,6
0xa0,0
0xa1,6
0xa2,6
0xa3,6
0xa4,0
0xa5,0
0xa6,4
0xa7,0
0xa8,0
0xa9,0
0xaa,0
0xab,0
0xac,0
0xad,0
0xae,0
0xaf,0
0xb0,0
0xb1,0
0xb2,0
0xb3,0
0xb4,0
0xb5,0
0xb6,0
0xb7,0
0xb8,0
0xb9,0
0xba,0
0xbb,0
0xbc,0
0xbd,0
0xbe,0
0xbf,0
0xc0,0
0xc1,0
0xc2,0
0xc3,0
0xc4,0
0xc5,0
0xc6,0
0xc7,0
0xc8,0
0xc9,0
0xca,0
0xcb,0
0xcc,0
0xcd,0
0xce,0
0xcf,0
0xd0,0
0xd1,0
0xd2,0
0xd3,0
0xd4,0
0xd5,0
0xd6,0
0xd7,0
0xd8,0
0xd9,0
0xda,0
0xdb,0
0xdc,0
0xdd,0
0xde,0
0xdf,0
0xe0,0
0xe1,0
0xe2,0
0xe3,0
0xe4,0
0xe5,0
0xe6,0
0xe7,0
0xe8,0
0xe9,0
0xea,0
0xeb,0
0xec,0
0xed,0
0xee,0
0xef,0
0xf0,0
0xf1,0
0xf2,0
0xf3,0
0xf4,0
0xf5,0
0xf6,0
0xf7,0
0xf8,0
0xf9,0
0xfa,0
0xfb,0
0xfc,0
0xfd,0
0xfe,0
,0
